Cycle; TotalWork; QueueSize; WIP; TotalTeams; BusyTeams;
0;10000;9999;1;10;1;
1;10000;9998;1;10;1;
2;10000;9997;1;10;1;
3;10000;9996;1;10;1;
4;10000;9996;1;10;1;
5;10000;9995;1;10;1;
6;10000;9994;1;10;1;
7;10000;9993;1;10;1;
8;10000;9992;2;10;2;
9;10000;9991;1;10;1;
10;10000;9990;2;10;2;
11;10000;9989;1;10;1;
12;10000;9988;1;10;1;
13;10000;9987;2;10;2;
14;10000;9986;2;10;2;
15;10000;9986;1;10;1;
16;10000;9985;1;10;1;
17;10000;9984;2;10;2;
18;10000;9983;1;10;1;
19;10000;9982;1;10;1;
20;10000;9981;2;10;2;
21;10000;9980;1;10;1;
22;10000;9979;2;10;2;
23;10000;9978;1;10;1;
24;10000;9977;2;10;2;
25;10000;9977;1;10;1;
26;10000;9976;1;10;1;
27;10000;9976;1;10;1;
28;10000;9975;1;10;1;
29;10000;9974;2;10;2;
30;10000;9973;2;10;2;
31;10000;9972;2;10;2;
32;10000;9971;2;10;2;
33;10000;9970;1;10;1;
34;10000;9969;1;10;1;
35;10000;9968;1;10;1;
36;10000;9967;1;10;1;
37;10000;9966;1;10;1;
38;10000;9965;2;10;2;
39;10000;9964;1;10;1;
40;10000;9963;1;10;1;
41;10000;9962;2;10;2;
42;10000;9961;1;10;1;
43;10000;9960;2;10;2;
44;10000;9959;1;10;1;
45;10000;9958;2;10;2;
46;10000;9957;2;10;2;
47;10000;9956;2;10;2;
48;10000;9955;1;10;1;
49;10000;9954;1;10;1;
50;10000;9953;1;10;1;
51;10000;9953;1;10;1;
52;10000;9952;1;10;1;
53;10000;9951;1;10;1;
54;10000;9950;1;10;1;
55;10000;9949;1;10;1;
56;10000;9948;1;10;1;
57;10000;9947;2;10;2;
58;10000;9946;1;10;1;
59;10000;9945;1;10;1;
60;10000;9944;1;10;1;
61;10000;9943;2;10;2;
62;10000;9942;1;10;1;
63;10000;9941;2;10;2;
64;10000;9940;2;10;2;
65;10000;9939;1;10;1;
66;10000;9938;1;10;1;
67;10000;9937;1;10;1;
68;10000;9936;1;10;1;
69;10000;9935;1;10;1;
70;10000;9934;2;10;2;
71;10000;9933;1;10;1;
72;10000;9932;1;10;1;
73;10000;9931;1;10;1;
74;10000;9930;1;10;1;
75;10000;9929;1;10;1;
76;10000;9928;1;10;1;
77;10000;9927;1;10;1;
78;10000;9926;1;10;1;
79;10000;9925;1;10;1;
80;10000;9924;1;10;1;
81;10000;9923;1;10;1;
82;10000;9922;2;10;2;
83;10000;9921;2;10;2;
84;10000;9920;1;10;1;
85;10000;9919;1;10;1;
86;10000;9918;2;10;2;
